Ngày Bán,Mã HĐ,Chi Nhánh,Sản Phẩm,SL,Thành Tiền,SĐT Khách
2026-08-17T18:00:00Z,Q1-0-0,Q1,Latte,1,50000,0001000000
2026-08-17T18:01:00Z,Q1-0-1,Q1,Latte,1,50000,0001000001
2026-08-17T18:02:00Z,Q1-0-2,Q1,Latte,1,50000,0001000002
2026-08-17T18:03:00Z,Q1-0-3,Q1,Latte,1,50000,0001000003
2026-08-17T18:04:00Z,Q1-0-4,Q1,Latte,1,50000,0001000004
2026-08-17T18:05:00Z,Q1-0-5,Q1,Latte,1,50000,0001000005
2026-08-17T18:06:00Z,Q1-0-6,Q1,Latte,1,50000,
2026-08-17T18:07:00Z,Q1-0-7,Q1,Latte,1,50000,
2026-08-17T18:08:00Z,Q1-0-8,Q1,Latte,1,50000,
2026-08-17T18:09:00Z,Q1-0-9,Q1,Latte,1,50000,
2026-08-17T18:00:00Z,Q7-0-0,Q7,Latte,1,50000,0007000000
2026-08-17T18:01:00Z,Q7-0-1,Q7,Latte,1,50000,0007000001
2026-08-17T18:02:00Z,Q7-0-2,Q7,Latte,1,50000,0007000002
2026-08-17T18:03:00Z,Q7-0-3,Q7,Latte,1,50000,0007000003
2026-08-17T18:04:00Z,Q7-0-4,Q7,Latte,1,50000,0007000004
2026-08-17T18:05:00Z,Q7-0-5,Q7,Latte,1,50000,0007000005
2026-08-17T18:06:00Z,Q7-0-6,Q7,Latte,1,50000,
2026-08-17T18:07:00Z,Q7-0-7,Q7,Latte,1,50000,
2026-08-17T18:08:00Z,Q7-0-8,Q7,Latte,1,50000,
2026-08-17T18:09:00Z,Q7-0-9,Q7,Latte,1,50000,
2026-08-24T18:00:00Z,Q1-1-0,Q1,Latte,1,50000,0001000000
2026-08-24T18:01:00Z,Q1-1-1,Q1,Latte,1,50000,0001000001
2026-08-24T18:02:00Z,Q1-1-2,Q1,Latte,1,50000,0001000002
2026-08-24T18:03:00Z,Q1-1-3,Q1,Latte,1,50000,0001000003
2026-08-24T18:04:00Z,Q1-1-4,Q1,Latte,1,50000,0001000004
2026-08-24T18:05:00Z,Q1-1-5,Q1,Latte,1,50000,0001000005
2026-08-24T18:06:00Z,Q1-1-6,Q1,Latte,1,50000,
2026-08-24T18:07:00Z,Q1-1-7,Q1,Latte,1,50000,
2026-08-24T18:08:00Z,Q1-1-8,Q1,Latte,1,50000,
2026-08-24T18:09:00Z,Q1-1-9,Q1,Latte,1,50000,
2026-08-24T18:00:00Z,Q7-1-0,Q7,Latte,1,50000,0007000000
2026-08-24T18:01:00Z,Q7-1-1,Q7,Latte,1,50000,0007000001
2026-08-24T18:02:00Z,Q7-1-2,Q7,Latte,1,50000,0007000002
